player_id,match_id,assists,attempt_at_goal,attempt_at_goal_against,attempt_at_goal_against_on_target,attempt_at_goal_blocked,attempt_at_goal_from_ball_progression,attempt_at_goal_from_corner,attempt_at_goal_from_cross,attempt_at_goal_from_free_kicks,attempt_at_goal_from_other,attempt_at_goal_from_pass,attempt_at_goal_from_penalty,attempt_at_goal_from_rebound,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_inside_the_penalty_area_on_target,attempt_at_goal_off_target,attempt_at_goal_on_target,attempt_at_goal_outside_the_penalty_area,attempt_at_goal_outside_the_penalty_area_on_target,attempted_ball_progressions,attempted_switches_of_play,avg_speed,clean_sheets,completed_ball_progressions,completed_switches_of_play,corners,crosses,crosses_completed,defensive_pressures_applied,direct_defensive_pressures_applied,direct_free_kicks,direct_red_cards,distance_high_speed_running,distance_high_speed_sprinting,distance_jogging,distance_low_speed_sprinting,distance_walking,distributions_completed_under_pressure,distributions_under_pressure,forced_turnovers,fouls_against,fouls_for,free_kicks,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,goalkeeper_save_percentage,goalkeeper_saves,goalkeeper_saves_on_target,goal_kicks,goals,goals_conceded,goals_conceded_from_attempt_at_goal_against,goals_from_direct_free_kicks,goals_inside_the_penalty_area,goals_outside_the_penalty_area,headed_attempt_at_goal,indirect_free_kicks,indirect_red_cards,linebreaks_attempted,linebreaks_attempted_all_lines,linebreaks_attempted_attacking_and_midfield_line,linebreaks_attempted_attacking_line,linebreaks_attempted_attacking_line_completed,linebreaks_attempted_attacking_line_completed_only,linebreaks_attempted_attacking_line_only,linebreaks_attempted_completed,linebreaks_attempted_defensive_line,linebreaks_attempted_defensive_line_completed,linebreaks_attempted_defensive_line_completed_only,linebreaks_attempted_defensive_line_only,linebreaks_attempted_midfield_and_defensive_line,linebreaks_attempted_midfield_line,linebreaks_attempted_midfield_line_completed,linebreaks_attempted_midfield_line_completed_only,linebreaks_attempted_midfield_line_only,linebreaks_attempted_under_pressure,linebreaks_completed_all_lines,linebreaks_completed_attacking_and_midfield_line,linebreaks_completed_midfield_and_defensive_line,linebreaks_completed_under_pressure,matches_played,number_of_involvements,number_of_possession_sequences,number_of_shot_ending_sequences,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,offers_to_receive_total,offsides,own_goals,passes,passes_completed,penalties,penalties_scored,received_offers_to_receive,receptions_between_midfield_and_defensive_line,receptions_in_behind,receptions_under_direct_pressure,receptions_under_indirect_pressure,receptions_under_no_pressure,receptions_under_pressure,red_cards,speed_runs,sprints,substitutions_in,substitutions_out,take_ons_completed,threat,throw_ins,time_played,top_speed,total_distance,xg,yellow_cards,team_id,team_name,player_name,player_number,position,birthday
403596,151600,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43911,MEX,Jorge SANCHEZ,2,Defender,1997-12-10T00:00:00Z
430763,151600,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43911,MEX,Luis ROMO,7,Midfielder,1995-06-05T00:00:00Z
395516,151600,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.295722007751465,1,0,0,0,1,0,3,2,2,1,840.5001220703125,86.04000091552734,3690.93994140625,300.94000244140625,3627.47998046875,16,20,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,2,13,10,8,8,14,3,1,0,0,0,8,3,1,3,11,1,1,0,5,1,142,47,2,1,0,5,2,4,6,0,0,65,60,0,0,3,1,0,0,5,59,5,1,72,25,0,0,0,0.03136115521192551,0,95.1094,30.0997371673584,8545.900390625,0,0,43911,MEX,Cesar MONTES,3,Defender,1997-02-24T00:00:00Z
372090,151600,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43911,MEX,Orbelin PINEDA,17,Midfielder,1996-03-24T00:00:00Z
464533,151600,0,4,3,0,2,0,0,0,1,1,2,0,0,2,0,2,0,2,0,1,0,6.466137886047363,1,0,0,1,1,0,17,2,2,0,1109.969970703125,196.6699981689453,2832.449951171875,434.64996337890625,2912.820068359375,17,21,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,6,5,5,6,4,0,0,0,3,1,60,30,8,10,21,6,26,11,37,0,0,24,21,0,0,15,11,1,1,13,16,14,0,106,39,0,1,0,0.7366535663604736,0,69.40403333333333,31.716676712036133,7486.560546875,0.30657273530960083,1,43911,MEX,Brian GUTIERREZ,26,Midfielder,2003-06-17T00:00:00Z
419518,151600,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.689777374267578,1,0,1,0,0,0,12,3,1,0,1145.5699462890625,81.30000305175781,4287.6201171875,363.3999938964844,2999.06982421875,22,25,9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,7,7,6,6,11,0,0,0,0,0,5,4,3,4,6,0,1,0,5,1,92,28,4,0,22,27,39,10,49,0,0,46,42,0,0,23,0,0,0,21,24,21,0,103,27,0,1,0,0.0368334986269474,0,79.54876666666667,31.413299560546875,8876.9599609375,0,0,43911,MEX,Erik LIRA,6,Midfielder,2000-05-08T00:00:00Z
402772,151600,0,2,3,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,1,1,5.752878665924072,1,0,1,0,2,0,16,2,0,0,1022.4300537109375,185.22000122070312,3932.39013671875,357.05999755859375,4195.4501953125,13,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2,4,2,0,1,6,3,1,1,2,0,6,3,1,3,4,0,2,0,1,1,109,43,3,9,13,10,6,26,32,0,0,54,46,0,0,10,16,1,1,6,41,7,0,86,29,0,0,0,0.22967220842838287,13,101.00468333333333,30.290681838989258,9692.5498046875,0.03632623702287674,0,43911,MEX,Jesus GALLARDO,23,Defender,1994-08-15T00:00:00Z
406135,151600,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43911,MEX,Cesar HUERTA,21,Forward,2000-12-03T00:00:00Z
215285,151600,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43911,MEX,Guillermo OCHOA,13,Goalkeeper,1985-07-13T00:00:00Z
485070,151600,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.25056791305542,1,0,1,0,0,0,0,0,0,0,200.94000244140625,0,1076.4400634765625,23.729999542236328,4175.27001953125,9,11,0,0,0,1,5,4,1,2,2,3,0,0,0,0,0,0,0,1,0,19,0,7,11,9,4,4,14,0,0,0,0,0,8,5,0,1,11,0,5,0,8,1,70,31,3,0,0,13,7,6,13,0,0,33,29,0,0,4,0,0,0,1,26,1,0,18,3,0,0,0,0.030351174995303154,0,101.00468333333333,23.157072067260742,5476.3798828125,0,0,43911,MEX,Raul RANGEL,1,Goalkeeper,2000-02-25T00:00:00Z
