team_id,player_p,name_p,player_q,name_q,minutes_together,n_interactions,joi,joi90,p_initiates_frac
370,8011,Haris Seferovic,13881,Ardon Jashari,5.7,1,0.9432888089518012,14.894033825554754,1.0
382,13998,Salem Al-Dawsari,14002,Hattan Bahebri,12.633333333333333,2,0.9043602040461349,6.4426716383233895,0.5
379,13875,Vincent Aboubakar,13878,Jerome Mbekeli,15.016666666666667,1,0.9014708027789036,5.402821681471786,0.0
372,2144,Iliman Ndiaye,3996,Bamba Dieng,22.033333333333335,1,0.8731339211325237,3.5665076960027444,1.0
380,1267,Lucas Cavallini,6916,Junior Hoilett,24.283333333333335,1,0.9523211420294565,3.529536147535391,1.0
362,215,Youri Tielemans,455,Leandro Trossard,21.283333333333335,2,0.7953372918504736,3.3632117274804676,0.5
375,1991,Aleksandar Mitrovic,12642,Ivan Ilić,26.516666666666666,1,0.9492354410360181,3.2217921945911367,1.0
385,13783,Bryan Ruiz,13790,Brandon Aguilera,26.683333333333334,1,0.9488875295986139,3.200495102955974,1.0
373,7441,Sardar Azmoun,13983,Mehdi Torabi,26.35,2,0.8951482527424324,3.057432362308118,0.5
386,13811,Nathaniel Atkinson,13822,Jason Cummings,28.733333333333334,1,0.9542875663443967,2.9890677832133075,0.0
57,55,Takumi Minamino,9981,Ritsu Doan,24.25,2,0.7754763378117884,2.8780565114664314,0.5
58,252,Raúl Jiménez,1384,Hector Herrera,31.116666666666667,3,0.9820145889111348,2.8403207177933196,0.6666666666666666
58,252,Raúl Jiménez,1452,Nestor Araujo,31.116666666666667,4,0.9658487008054962,2.7935634624261807,0.25
364,3856,Leandro Paredes,8138,Lautaro Martinez,84.66666666666667,9,2.5506512027866495,2.7113221446944697,0.3333333333333333
376,4625,Robert Lewandowski,13852,Damian Szymanski,34.31666666666667,1,0.9576664209312384,2.511606932019761,1.0
381,3734,Félix Torres,13939,Djorkaeff Reasco,33.71666666666667,1,0.8909073989289342,2.378101806335267,0.0
361,162,Gabriel Martinelli,13830,Pedro,36.516666666666666,3,0.9297146190375231,2.2914007041545523,0.3333333333333333
386,449,Aaron Mooy,13822,Jason Cummings,41.516666666666666,3,0.9724415084517343,2.1080626839178507,0.6666666666666666
368,1937,Kai Havertz,9963,Niclas Fullkrug,34.166666666666664,2,0.7918625452473558,2.08588182650523,0.5
370,8011,Haris Seferovic,8328,Remo Freuler,45.56666666666666,2,0.9704553943946804,1.9167736392579644,0.5
372,3996,Bamba Dieng,13228,Youssouf Sabaly,122.38333333333333,6,2.5909088769141047,1.9053394982072949,0.5
366,84,Steven Bergwijn,3861,Xavi Simons,14.25,5,0.2885431399446511,1.8223777259662175,0.6
366,5009,Wout Weghorst,8034,Steven Berghuis,43.099999999999994,4,0.866868594007952,1.8101664376036124,0.75
51,328,DeAndre Yedlin,12183,Haji Wright,48.2,3,0.9548111269326863,1.7828423531938127,0.3333333333333333
50,311,Callum Wilson,371,Jack Grealish,47.03333333333333,1,0.914240286409218,1.7494321568425857,1.0
380,8627,Atiba Hutchinson,9094,Cyle Larin,51.13333333333333,3,0.9535445945838158,1.678337943530836,0.6666666666666666
381,4560,Carlos Gruezo,11960,Enner Valencia,52.35,2,0.9636544184279612,1.6567124672113944,0.5
385,3316,Joel Campbell,13790,Brandon Aguilera,103.95,15,1.902897420387193,1.6475302341014657,0.4
360,13947,Ismaeel Mohammed,13963,Mohammed Muntari,43.46666666666667,3,0.7953971334904436,1.6469112426565933,0.6666666666666666
362,4674,Axel Witsel,5139,Romelu Lukaku,59.08333333333333,2,0.9854121286673956,1.5010509153184588,0.0
365,4666,Raphaël Guerreiro,8593,Rafael Leao,62.41666666666667,15,0.9978796159952983,1.4388651338784006,0.6
52,1394,Alvaro Morata,1841,Pau Torres,56.28333333333333,7,0.8988607618467481,1.4373254705278178,0.42857142857142855
374,1681,Achraf Hakimi,13870,Abderrazak Hamdallah,55.06666666666666,3,0.8792560913373296,1.4370408272462412,0.6666666666666666
382,13994,Saud Abdulhamid,14002,Hattan Bahebri,12.633333333333333,2,0.20062132809087263,1.429228458694871,0.5
379,4626,Eric Maxim Choupo-Moting,12640,Martin Hongla,122.80000000000001,6,1.9261838247001148,1.4116982428583902,1.0
363,3870,Kylian Mbappé,4607,Lucas Hernández,12.05,7,0.18775585720068363,1.4023259044034462,0.42857142857142855
370,4703,Denis Zakaria,4717,Breel Embolo,61.95,5,0.9626971276150034,1.3985914686900773,0.4
51,1971,Tim Ream,4681,Giovanni Reyna,61.06666666666666,2,0.9433843534139018,1.3903590361449427,0.5
52,1394,Alvaro Morata,1513,Jordi Alba,62.66666666666667,3,0.9311775368176943,1.3373294411743482,0.3333333333333333
369,1535,Luis Suarez,13930,Giorgian De Arrascaeta,92.80000000000001,7,1.3220341589858575,1.2821451972923186,0.5714285714285714
384,201,Danny Ward,1698,Gareth Bale,65.75,1,0.925635509249751,1.2670295944103056,0.0
385,13779,Juan Pablo Vargas,13784,Johan Venegas,73.23333333333333,3,0.9983288396254215,1.2268947960803995,0.3333333333333333
365,1876,William Carvalho,8555,Otavio,73.08333333333333,13,0.9957129299139319,1.2261915214447507,0.6153846153846154
368,4621,Jamal Musiala,9963,Niclas Fullkrug,72.56666666666666,8,0.9512453620134074,1.179771464141571,0.75
385,3841,Keylor Navas,13784,Johan Venegas,73.23333333333333,1,0.9544012695043647,1.172910071762305,0.0
374,1938,Hakim Ziyech,9865,Zakaria Aboukhlal,63.916666666666664,4,0.8292315480958474,1.1676272124426534,0.5
57,8927,Ao Tanaka,10704,Kaoru Mitoma,53.96666666666667,5,0.6898450405707733,1.1504518897721359,0.4
382,14008,Riad Sharahili,14010,Firas Al-Buraikan,61.61666666666667,3,0.7604948220341031,1.1108120202824334,0.6666666666666666
366,8034,Steven Berghuis,8342,Memphis Depay,70.46666666666667,5,0.8673039441278453,1.1077202692266708,0.4
363,3870,Kylian Mbappé,4712,Marcus Thuram,147.43333333333334,9,1.801954131652776,1.0999946089673287,0.5555555555555556
368,4713,Jonas Hofmann,9918,Mario Götze,19.966666666666665,2,0.2425061622913439,1.0930995629159075,1.0
58,252,Raúl Jiménez,3303,Jesús Gallardo,79.33333333333333,4,0.9465436776798126,1.0738100545107119,0.75
368,26,Leroy Sané,9963,Niclas Fullkrug,72.56666666666666,4,0.8578613681272581,1.063953005945612,0.5
368,4616,Joshua Kimmich,9963,Niclas Fullkrug,92.5,7,1.0814543893230413,1.0522258923143104,0.5714285714285714
373,8561,Mehdi Taremi,13970,Roozbeh Cheshmi,84.75,3,0.9860276854296938,1.0471090464740112,0.3333333333333333
365,1393,Joao Felix,8008,Goncalo Ramos,141.33333333333331,5,1.6214192424651577,1.0325075364754543,0.6
380,1289,Mark-Anthony Kaye,9094,Cyle Larin,59.75,2,0.6790602864905065,1.0228523143790056,0.5
365,133,Bruno Fernandes,8593,Rafael Leao,84.65,4,0.9557298182031004,1.0161332975579331,0.75
