team_id,team_name,team_color,flag_code,player_p,name_p,pos_p,role_p,player_q,name_q,pos_q,role_q,minutes_together,n_interactions,joi,joi90,jdi,jdi90,goals_together,assists_together,assists_pq,assists_qp
370,Switzerland,#ffffff,ch,8011,Haris Seferovic,CF,FWD,13881,Ardon Jashari,DM,MID,5.7,1.0,0.9432888089518012,14.894033825554754,-0.006396363962066861,-0.10099522045368726,0,0,0,0
382,Saudi Arabia,#006600,sa,13998,Salem Al-Dawsari,LM,MID,14002,Hattan Bahebri,RW,MID,12.633333333333333,2.0,0.9043602040461349,6.4426716383233895,-0.002702769105178573,-0.019254555630559757,1,1,0,1
379,Cameroon,#006633,cm,13875,Vincent Aboubakar,CF,FWD,13878,Jerome Mbekeli,LW,MID,15.016666666666667,1.0,0.9014708027789036,5.402821681471786,-0.0028311934313703675,-0.016968306913873455,1,1,0,1
372,Senegal,#ffffff,sn,2144,Iliman Ndiaye,AM,FWD,3996,Bamba Dieng,CF,FWD,22.033333333333335,1.0,0.8731339211325237,3.5665076960027444,-0.010263579521428786,-0.04192384978495873,1,1,1,0
380,Canada,#000000,ca,1267,Lucas Cavallini,CF,FWD,6916,Junior Hoilett,LW,MID,24.283333333333335,1.0,0.9523211420294565,3.529536147535391,-0.0017033224337775828,-0.006312931463554527,0,0,0,0
362,Belgium,#ff0000,be,215,Youri Tielemans,CM,MID,455,Leandro Trossard,LW,MID,21.283333333333335,2.0,0.7953372918504736,3.3632117274804676,-0.015904583519551544,-0.06725509084226965,0,0,0,0
375,Serbia,#ffffff,rs,1991,Aleksandar Mitrovic,CF,FWD,12642,Ivan Ilić,CM,MID,26.516666666666666,1.0,0.9492354410360181,3.2217921945911367,0.0012497612997925379,0.004241804537322253,0,0,0,0
385,Costa Rica,#ff0000,cr,13783,Bryan Ruiz,AM,FWD,13790,Brandon Aguilera,AM,FWD,26.683333333333334,1.0,0.9488875295986139,3.200495102955974,-0.0327108890390626,-0.11033029407304062,0,0,0,0
373,Iran,#ffffff,ir,7441,Sardar Azmoun,CF,FWD,13983,Mehdi Torabi,LW,MID,26.35,2.0,0.8951482527424324,3.057432362308118,-0.016894467577822734,-0.05770406383317062,0,0,0,0
386,Australia,#003333,au,13811,Nathaniel Atkinson,RB,DEF,13822,Jason Cummings,CF,FWD,28.733333333333334,1.0,0.9542875663443967,2.9890677832133075,-0.019773597704938202,-0.06193586288089692,0,0,0,0
57,Japan,#3399ff,jp,55,Takumi Minamino,LW,MID,9981,Ritsu Doan,RW,MID,24.25,2.0,0.7754763378117884,2.8780565114664314,0.0007484141579162315,0.002777619555153024,1,0,0,0
58,Mexico,#006600,mx,252,Raúl Jiménez,CF,FWD,1384,Hector Herrera,CM,MID,31.116666666666667,3.0,0.9820145889111348,2.8403207177933196,-0.007621646567721741,-0.02204439821408538,0,0,0,0
58,Mexico,#006600,mx,252,Raúl Jiménez,CF,FWD,1452,Nestor Araujo,RCB,DEF,31.116666666666667,4.0,0.9658487008054962,2.7935634624261807,-0.002212494759037412,-0.006399288537119456,0,0,0,0
364,Argentina,#6633cc,ar,3856,Leandro Paredes,DM,MID,8138,Lautaro Martinez,CF,FWD,84.66666666666667,9.0,2.5506512027866495,2.7113221446944697,-0.006421720766500494,-0.006826238610059579,0,0,0,0
